author_id;username;id;created_at(utc);lang;tweet;tweetcount;followers;following;url
971166852356493312;X1ZatRRRJt3U2cW;1505458491502256128;20/03/2022 08:17:29;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;61135;1382;1346;https://twitter.com/twitter/status/1505458491502256128
1079869812711538694;antzoujia;1505457767020118020;20/03/2022 08:14:36;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;75165;1729;1596;https://twitter.com/twitter/status/1505457767020118020
330196261;GMitakides;1505456402088833025;20/03/2022 08:09:10;el;RT @enikos_gr: Ουκρανία: Ο Έλληνας Πρόξενος Μανώλης Ανδρουλάκης μιλά αποκλειστικά στο https://t.co/Tpqya0iKvq για την κόλαση της Μαριούπολη…;505180;9536;10464;https://twitter.com/twitter/status/1505456402088833025
8980982;kulturosupa;1505456175738937350;20/03/2022 08:08:16;el;5 λόγοι να παρακολουθείτε ριάλιτυ ή ενας ύμνος στο junk food για τον εγκέφαλο | Μανώλης Ιωαννίδης | Ύστερα απ  τον κόσμο. https://t.co/wIwOgXyzEk;51363;847;16;https://twitter.com/twitter/status/1505456175738937350
1478351447620308994;tsitsidi_;1505454426684891140;20/03/2022 08:01:19;el;@The_Dr_N0 Εμένα?? Εγώ μένω εκτός Ελλάδος 🤣🤣Εμένα ο Μανώλης με πηδάει 🤣;1595;3307;4188;https://twitter.com/twitter/status/1505454426684891140
1442478741830070276;Hotshot_gr;1505450157596364804;20/03/2022 07:44:22;el;Επιστρέφει σήμερα το απόγευμα στην Αθήνα ο γενικός πρόξενος της Ελλάδας στη Μαριούπολη -  Διαβάστε το άρθρο εδω -&gt   https://t.co/WbVcIfq7ny #Μανώλης_Ανδρουλάκης #Μαριούπολη;3724;22;37;https://twitter.com/twitter/status/1505450157596364804
327267369;NChatzinikolaou;1505449899768401922;20/03/2022 07:43:20;el;RT @enikos_gr: Ουκρανία: Ο Έλληνας Πρόξενος Μανώλης Ανδρουλάκης μιλά αποκλειστικά στο https://t.co/Tpqya0iKvq για την κόλαση της Μαριούπολη…;413268;636505;38140;https://twitter.com/twitter/status/1505449899768401922
330810194;cholevaskostas;1505447744151990275;20/03/2022 07:34:46;el;RT @enikos_gr: Ουκρανία: Ο Έλληνας Πρόξενος Μανώλης Ανδρουλάκης μιλά αποκλειστικά στο https://t.co/Tpqya0iKvq για την κόλαση της Μαριούπολη…;168551;4840;1293;https://twitter.com/twitter/status/1505447744151990275
912368022;marilouzou;1505445557841580034;20/03/2022 07:26:05;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;161510;2467;3133;https://twitter.com/twitter/status/1505445557841580034
907315761626193920;paulos82679384;1505444967703007234;20/03/2022 07:23:44;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;2310;208;574;https://twitter.com/twitter/status/1505444967703007234
1305966937336352768;kostas56387635;1505444215278424066;20/03/2022 07:20:45;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;163685;3755;2932;https://twitter.com/twitter/status/1505444215278424066
250058740;amna_news;1505444184093777921;20/03/2022 07:20:37;el;Σήμερα το απόγευμα επιστρέφει στην Αθήνα ο γενικός πρόξενος της Ελλάδας στη #Μαριούπολη, Μανώλης  Ανδρουλάκης   https://t.co/9k0qGT7RQL https://t.co/2tMmFxp5ul;409963;93205;3661;https://twitter.com/twitter/status/1505444184093777921
749934864;astrogirl34;1505442333336248323;20/03/2022 07:13:16;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;276226;10587;2116;https://twitter.com/twitter/status/1505442333336248323
848057086630141953;doraki4paok;1505441432701739011;20/03/2022 07:09:41;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;143377;3270;1070;https://twitter.com/twitter/status/1505441432701739011
862633260958003200;FilippidouO;1505440737747419136;20/03/2022 07:06:56;el;RT @enikos_gr: Ουκρανία: Ο Έλληνας Πρόξενος Μανώλης Ανδρουλάκης μιλά αποκλειστικά στο https://t.co/Tpqya0iKvq για την κόλαση της Μαριούπολη…;103451;4464;2032;https://twitter.com/twitter/status/1505440737747419136
373909732;enikos_gr;1505440269470212096;20/03/2022 07:05:04;el;Ουκρανία: Ο Έλληνας Πρόξενος Μανώλης Ανδρουλάκης μιλά αποκλειστικά στο https://t.co/Tpqya0iKvq για την κόλαση της Μαριούπολης https://t.co/Gu6c2S1Jcr;638858;422109;53;https://twitter.com/twitter/status/1505440269470212096
4136288362;HellasJournal;1505440135801880581;20/03/2022 07:04:32;el;Στην Αθήνα σήμερα το απόγευμα ο Γενικός Πρόξενος στη Μαριούπολη Μανώλης Ανδρουλάκης https://t.co/p5T844e07M;217934;32863;13117;https://twitter.com/twitter/status/1505440135801880581
910110308;EfiEnjoyy;1505439712940638208;20/03/2022 07:02:51;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;89227;5855;4725;https://twitter.com/twitter/status/1505439712940638208
606095551;PontosNews;1505437874132426752;20/03/2022 06:55:33;el;Επιστρέφει σήμερα στην Ελλάδα ο Μανώλης Ανδρουλάκης https://t.co/DuPdi6ltYO #pontosnews;69234;3864;35;https://twitter.com/twitter/status/1505437874132426752
1234135301569818625;Electra306;1505435084442243072;20/03/2022 06:44:28;el;RT @ArionGRmusic: 🎶 ΚΥΡ ΔΙΕΥΘΥΝΤΑ ΤΩΝ ΔΙΣΚΩΝ 🎙️ Νίκος Παπάζογλου |✍️ Μανώλης Ρασούλης |🎼 Νίκος Παπάζογλου |💿  Η ΕΚΔΙΚΗΣΗ ΤΗΣ ΓΥΦΤΙΑΣ  |🗓️ 2…;22252;1173;1088;https://twitter.com/twitter/status/1505435084442243072
3345216123;Giota36P;1505430630389235715;20/03/2022 06:26:46;el;RT @paganiotis: που βρέθηκαν 4,5 χιλιάδες στο τουίτερ, εγώ νόμιζα εδώ μέσα ήμασταν δέκα άτομα όλοι κι όλοι σαν το ντόλτσε βίτα σε γιορτές,…;79160;4077;3486;https://twitter.com/twitter/status/1505430630389235715
