author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
479445216,2021-12-26 16:28:16+00:00, ,1475141422034599944,de,0,0,0,4,Twitter Web App,RT @MarianKamensky1: UND TSCHÜß  CORONA 2022! Bitte lesen: https://t.co/rsBqYmy5Ch https://t.co/VusIgU38Hx https://t.co/MHSFcJzyGa https://…
479445216,2021-12-26 16:25:22+00:00, ,1475140690350903304,de,0,0,0,4,Twitter Web App,RT @MarianKamensky1: LIEBE MACHT BLIND Bitte lesen: https://t.co/w1GNmAmhpU... https://t.co/VusIgU38Hx https://t.co/MHSFcJzyGa https://t.co…
56371957,2021-12-26 16:24:50+00:00, ,1475140559996166148,de,0,0,0,99,Twitter for iPhone,RT @mazemoore: Merry Christmas Dr. Biden. https://t.co/KH8FrFLRiO
60161362,2021-12-26 16:22:05+00:00, ,1475139866845331458,de,0,0,0,99,Twitter for iPhone,RT @mazemoore: Merry Christmas Dr. Biden. https://t.co/KH8FrFLRiO
252635743,2021-12-26 16:12:36+00:00, ,1475137479132995585,de,0,0,0,99,Twitter for iPhone,RT @mazemoore: Merry Christmas Dr. Biden. https://t.co/KH8FrFLRiO
1290664528229867521,2021-12-26 16:08:19+00:00, ,1475136400139956228,de,1,0,0,2,Twitter for Android,#Handelsblatt: Joe Biden geht mit düsteren Aussichten ins neue Jahr https://t.co/jrvUesfnoo
1474840848139526149,2021-12-26 15:53:16+00:00, ,1475132614105309188,de,0,0,0,3,Twitter for iPhone,"RT @Joffrey77855104: Ein Anrufer hat Joe Biden live im Fernsehen ""Lets go Brandon"" gewünscht. Der Slogan steht unter Republikanern für ""F..…"
2285696705,2021-12-26 15:45:10+00:00, ,1475130577628143618,de,0,0,0,4,Twitter Web App,RT @MarianKamensky1: ÖKO-POLIZIST ÖZDEMIR Bitte lesen: https://t.co/odHPlGcsjW https://t.co/VusIgU38Hx https://t.co/MHSFcJzyGa https://t.co…
1326483402883784707,2021-12-26 15:44:17+00:00, ,1475130352461090818,de,0,0,0,4,Twitter Web App,RT @MarianKamensky1: ÖKO-POLIZIST ÖZDEMIR Bitte lesen: https://t.co/odHPlGcsjW https://t.co/VusIgU38Hx https://t.co/MHSFcJzyGa https://t.co…
1128715108388081665,2021-12-26 15:38:03+00:00, ,1475128785100058629,de,0,0,1,0,Twitter Web App,@Frequen45739203 @taz_news Die TAZ liefert Ihnen Antworten: https://t.co/LBEoHj0Nq2
1591016580,2021-12-26 15:37:42+00:00, ,1475128697925640192,de,7,0,0,4,Twitter Web App,ÖKO-POLIZIST ÖZDEMIR Bitte lesen: https://t.co/odHPlGcsjW https://t.co/VusIgU38Hx https://t.co/MHSFcJzyGa https://t.co/2ME3NnqN0p #Klimawandel #facebook #Biden #Coronavirus #Delta https://t.co/wvl72URYLx
3195419603,2021-12-26 15:26:52+00:00, ,1475125972068405249,de,0,0,0,1,Twitter for Android,RT @Blog1600Penn: 22 6% der US-Amerikaner sind mit der Arbeit des US-Kongresses zufrieden. Ein leichter Anstieg im Vergleich zum Vormonat.…
1414321984192884736,2021-12-26 15:23:24+00:00, ,1475125095882539016,de,0,0,0,1,Twitter Web App,"RT @DanielaWittman1: ""Let's go Brandon"" – Anrufer beleidigt Biden im Live-TV https://t.co/a5aKc66r72 Sicher NIEMAND von TRUMPS TEaM- die ha…"
1414321984192884736,2021-12-26 15:23:17+00:00, ,1475125068342730752,de,0,0,0,1,Twitter Web App,"RT @DanielaWittman1: ""Let's go Brandon"" – Anrufer beleidigt Biden im Live-TV https://t.co/a5aKc66r72 Sicher NIEMAND von TRUMPS TEaM- die ha…"
227848569,2021-12-26 15:18:21+00:00, ,1475123826384060417,de,0,0,0,0,Twitter for Android,Merry Christmas  Dr. Biden. https://t.co/H9IFh8jhXZ
1260798065373523969,2021-12-26 15:14:25+00:00, ,1475122838512324609,de,0,0,0,2,Twitter for iPhone,RT @PL_wisdomcanSOS: @ManuH17068685 Die Liste der eingeladenen Länder (und die  die es nicht sind) spricht eine klare Sprache. @EpochTimesD…
880074873879617537,2021-12-26 15:10:53+00:00, ,1475121947558268928,de,0,0,0,67,Twitter for iPad,RT @Fuechsinvonwelt: Bitte erinnert euch auch an diesem Weihnachtsfest daran  dass es nicht Biden war der Kevin den Weg zur Eingangshalle z…
1361977462192766976,2021-12-26 15:03:51+00:00, ,1475120180065878019,de,0,0,0,1,Twitter Web App,"""Let's go Brandon"" – Anrufer beleidigt Biden im Live-TV https://t.co/a5aKc66r72 Sicher NIEMAND von TRUMPS TEaM- die haben WICHTIGERES zu tun als sich mit einem Hologramm zu unterhalten - einfach googeln- Biden AI Programm - Kinderhandel... https://t.co/77PcjB6R7H"
1361977462192766976,2021-12-26 15:02:54+00:00, ,1475119940344721414,de,0,0,0,1,Twitter Web App,"""Let's go Brandon"" – Anrufer beleidigt Biden im Live-TV https://t.co/a5aKc66r72 Sicher NIEMAND von TRUMPS TEaM- die haben WICHTIGERES zu tun als sich mit einem Hologramm zu unterhalten - einfach googeln- Biden AI Programm - Kinderhandel... https://t.co/G6CbTLkrPl"
45800689,2021-12-26 15:00:18+00:00, ,1475119285861330949,de,0,0,0,0,Sprout Social,Unsere 🔝🔟 #Außenpolitik | Welche Artikel haben Sie dieses Jahr am meisten interessiert?  8/10: Trump-Anhänger stürmen US-#Kapitol: 4 Tote  Biden-Wahl bestätigt. Von @sarahannlawton. https://t.co/iXEsdT5X3P
1470766155388313603,2021-12-26 15:00:03+00:00, ,1475119222166593537,de,0,0,0,0,Twitter Web App,Sohn Dünis von der Bismark heute Joe Biden ! https://t.co/fSAiDXMciH
1468667195374948355,2021-12-26 14:46:13+00:00, ,1475115742500691969,de,0,0,0,0,Twitter for iPhone,@ZDFheute Und Biden bestätigt! Den Teil habt ihr vergessen.
973751967641194496,2021-12-26 14:45:12+00:00, ,1475115483242377230,de,0,0,0,3,Twitter for Android,RT @HughJeen: Joe Biden hat mich dazu inspiriert meinen Hund Oberleutnant zu nennen https://t.co/CGb9Lqt5C3
721752504535543810,2021-12-26 14:41:19+00:00, ,1475114509249531904,de,0,0,0,0,Twitter for iPhone,Nach vier Jahren mit täglicher Hetze und Diffamierung ALLER Medien gegen #Trump macht ihr Heuchler jetzt aus einer Mücke einen Elefanten… 🙈#LetsGoBrandon #Biden https://t.co/G6WfhLjAOh https://t.co/iEj51FrsvK
4787783837,2021-12-26 14:36:54+00:00, ,1475113395493998597,de,0,0,0,99,Twitter for iPhone,RT @mazemoore: Merry Christmas Dr. Biden. https://t.co/KH8FrFLRiO
1082277994792697856,2021-12-26 14:35:57+00:00, ,1475113157559472131,de,0,0,0,67,Twitter for iPhone,RT @Fuechsinvonwelt: Bitte erinnert euch auch an diesem Weihnachtsfest daran  dass es nicht Biden war der Kevin den Weg zur Eingangshalle z…
1293668896533356553,2021-12-26 14:20:32+00:00, ,1475109278939815942,de,0,0,0,0,Twitter for Android,"Präsident Joe Biden ist geistig auf d. Höhe - Spötter sagen in etwa bei 1 83 m.  Der Mann lässt kaum ein Fauxpas aus. Beängstigend d. so jmd die freie westliche Welt anführt.  Joe Biden stimmt im Live-TV seinem Schmähspruch zu: ""Let's go Brandon  I agree"" https://t.co/in30irZLPe"
1465844495031930881,2021-12-26 14:14:34+00:00, ,1475107775390703623,de,0,0,0,2,Twitter for iPhone,RT @Dogmire29: Christmas under Biden https://t.co/0Ppe93HzlP
1336410923024707585,2021-12-26 14:07:09+00:00, ,1475105907939893250,de,0,0,0,0,Twitter Web App,@krispypow @AmFil_B_man @ABC Pandemic Timeline  https://t.co/ZRNwBsT4d5  Kissinger  Schwab  Gates  Fauci  Biden  #Event201 #Covid #WEF #BillGates #Fauci #POTUS https://t.co/O1ZZrjD7dK
2487721413,2021-12-26 13:57:38+00:00, ,1475103512031809537,de,0,0,0,0,Twitter for iPhone,@spd_martin @PhilippGraefe @faznet .. Clinton  Biden  May  Fischer  Blair  Putin  Macron  Xi und andere auch hin wenn man das Völkerrecht anwendet
443036348,2021-12-26 13:56:45+00:00, ,1475103293286268929,de,0,0,0,67,Twitter Web App,RT @Fuechsinvonwelt: Bitte erinnert euch auch an diesem Weihnachtsfest daran  dass es nicht Biden war der Kevin den Weg zur Eingangshalle z…
1336410923024707585,2021-12-26 13:55:11+00:00, ,1475102898455519233,de,0,0,0,0,Twitter Web App,@CNBC @CNBCMakeIt Pandemic Timeline  https://t.co/ZRNwBsT4d5  Kissinger  Schwab  Gates  Fauci  Biden  #Event201 #Covid #WEF #BillGates #Fauci #POTUS https://t.co/DOmgHKWjwm
1454920570865438727,2021-12-26 13:53:30+00:00, ,1475102472670781442,de,3,0,0,2,Twitter for iPhone,Christmas under Biden https://t.co/0Ppe93HzlP
1685605387,2021-12-26 13:46:55+00:00, ,1475100818248458241,de,0,0,0,3,Twitter Web App,RT @handelsblatt: Das Billionenpaket „Build Back Better“ des US-Präsidenten hat kaum noch Chancen. Das Scheitern des Kerns der Wirtschaftsa…
