author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
872224558383869958,2021-12-24 23:59:59+00:00, ,1474530326546366475,en,0,0,0,29969,Twitter for iPhone,RT @cyankyber: watching the og spider-man thinking of this post https://t.co/V84ORKts5d
1389378526286057474,2021-12-24 23:59:59+00:00, ,1474530325917229061,en,0,0,0,29969,Twitter for Android,RT @cyankyber: watching the og spider-man thinking of this post https://t.co/V84ORKts5d
1281408417782018048,2021-12-24 23:59:59+00:00, ,1474530324168253441,en,0,0,0,340,Twitter for iPhone,RT @therealsupes: Playing Marvel’s Spider-Man hits so much different after watching #SpiderManNoWayHome
1020441742531842049,2021-12-24 23:59:59+00:00, ,1474530324042371076,en,0,0,0,1962,Twitter for iPhone,RT @UsagiYohimbo10: The “Scorsese Vs Marvel” discourse is neverending and annoying  especially because 1) he wasn’t that harsh on them 2) h…
2380425654,2021-12-24 23:59:59+00:00, ,1474530323941580801,en,0,0,0,3614,Twitter for Android,RT @BorkEternal: Sam Raimi’s             Sam Raimi’s Spider-Man           Doctor Strange https://t.co/D1O2j6V9CV
715896877,2021-12-24 23:59:59+00:00, ,1474530323530719232,en,0,0,0,29969,Twitter for iPhone,RT @cyankyber: watching the og spider-man thinking of this post https://t.co/V84ORKts5d
1459376722244112387,2021-12-24 23:59:59+00:00, ,1474530323027292162,en,5,0,0,0,Twitter for iPhone,Dream likes Spider-Man god we are so alike
1461506807164293125,2021-12-24 23:59:58+00:00, ,1474530320854749188,en,0,0,0,12677,Twitter for iPhone,RT @SMGold_: Spider-Man fans when they see Peter is living paycheck to paycheck  depressed  and at the lowest point in his life with no one…
343244734,2021-12-24 23:59:57+00:00, ,1474530315649626115,en,4,0,0,0,Twitter for iPhone,@itslondonbaby2 Spider-Man 2 or this most recent one 😙
587204559,2021-12-24 23:59:56+00:00, ,1474530313497980929,en,0,0,0,0,Twitter for iPhone,Person who just watched the 18th version of the same Spider-Man movie: “ Martin Scorsese just keeps making the same movie over and over again” 🤣
1210373487484948480,2021-12-24 23:59:56+00:00, ,1474530312168292355,en,0,0,0,13351,Twitter for iPhone,RT @Miles8341: “spider-man isn’t bi” TO YOU. i know him personally
1163030472647159808,2021-12-24 23:59:55+00:00, ,1474530309567827968,en,0,0,0,9041,Twitter for iPhone,RT @modsiwW: Looks based on Spider-Man No Way Home villains :) https://t.co/mbtJkJacEk
911025316402835457,2021-12-24 23:59:55+00:00, ,1474530307768348673,en,0,0,0,12677,Twitter for Android,RT @SMGold_: Spider-Man fans when they see Peter is living paycheck to paycheck  depressed  and at the lowest point in his life with no one…
2591017267,2021-12-24 23:59:55+00:00, ,1474530306849914883,en,0,0,0,9041,Twitter for iPhone,RT @modsiwW: Looks based on Spider-Man No Way Home villains :) https://t.co/mbtJkJacEk
1289582245297164288,2021-12-24 23:59:55+00:00, ,1474530306132693005,en,0,0,0,13351,Twitter Web App,RT @Miles8341: “spider-man isn’t bi” TO YOU. i know him personally
1284955387620458496,2021-12-24 23:59:54+00:00, ,1474530304828350464,en,0,0,0,29969,Twitter for Android,RT @cyankyber: watching the og spider-man thinking of this post https://t.co/V84ORKts5d
1324275582792691712,2021-12-24 23:59:54+00:00, ,1474530304782004224,en,0,0,0,0,Twitter Web App,HE HAS THE PS5 FOR SPIDER-MAN I CANT TAKE IT ANYMORE /pos
